val_loss,epoch,step
6.588761329650879,0,310
6.778785705566406,1,621
6.956642150878906,2,932
6.8493170738220215,3,1243
7.0404558181762695,4,1554
6.713747978210449,5,1865
6.712587833404541,6,2176
6.843929767608643,7,2487
6.867645740509033,8,2798
6.6952643394470215,9,3109
6.743381500244141,10,3420
6.786606788635254,11,3731
6.760925769805908,12,4042
6.831610679626465,13,4353
6.75516414642334,14,4664
6.909573078155518,15,4975
6.846733093261719,16,5286
6.820566177368164,17,5597
6.832123756408691,18,5908
6.941730499267578,19,6219
6.850282669067383,20,6530
6.853986740112305,21,6841
6.94322395324707,22,7152
6.843815326690674,23,7463
6.983620643615723,24,7774
6.860208034515381,25,8085
6.738077640533447,26,8396
6.947164058685303,27,8707
6.998692512512207,28,9018
6.851861000061035,29,9329
6.983757495880127,30,9640
7.029938220977783,31,9951
6.740618705749512,32,10262
6.742751121520996,33,10573
6.808632850646973,34,10884
6.781899929046631,35,11195
6.832612037658691,36,11506
6.919543743133545,37,11817
6.808492660522461,38,12128
6.821347236633301,39,12439
6.971041679382324,40,12750
6.9518141746521,41,13061
6.735391616821289,42,13372
6.938338279724121,43,13683
6.901093006134033,44,13994
6.717273712158203,45,14305
6.838534355163574,46,14616
