val_loss,epoch,step
0.18138237297534943,0,310
0.14524845778942108,1,621
0.13845953345298767,2,932
0.13554328680038452,3,1243
0.13475251197814941,4,1554
0.13348636031150818,5,1865
0.1335432529449463,6,2176
0.13247518241405487,7,2487
0.13324414193630219,8,2798
0.13297545909881592,9,3109
0.13259130716323853,10,3420
0.13231569528579712,11,3731
0.13275770843029022,12,4042
0.13186301290988922,13,4353
0.131951704621315,14,4664
0.13202033936977386,15,4975
0.1313929408788681,16,5286
0.13198475539684296,17,5597
0.13197194039821625,18,5908
0.13125164806842804,19,6219
0.13155758380889893,20,6530
0.13134099543094635,21,6841
0.13162243366241455,22,7152
0.13152043521404266,23,7463
0.13074740767478943,24,7774
0.1311652660369873,25,8085
0.1310558319091797,26,8396
0.1315980851650238,27,8707
0.13115204870700836,28,9018
0.13115383684635162,29,9329
0.13113918900489807,30,9640
0.13126912713050842,31,9951
0.13090568780899048,32,10262
0.1312943547964096,33,10573
0.13091792166233063,34,10884
0.13061441481113434,35,11195
0.1305350959300995,36,11506
0.13140688836574554,37,11817
0.1307474672794342,38,12128
0.1312769502401352,39,12439
0.13100405037403107,40,12750
0.13048264384269714,41,13061
0.1306862235069275,42,13372
0.13091689348220825,43,13683
0.13103283941745758,44,13994
0.13181188702583313,45,14305
0.13081565499305725,46,14616
0.1304675191640854,47,14927
0.13079561293125153,48,15238
0.1306162178516388,49,15549
